id,d,n,m,K,ε,time,exact,sqerror,optval,dist_after_rounding,ν
1,2,3,2,2,0.4,0.042641242,true,3.138108178948275e-10,0.039999914842735726,0.04000000809340894,[0.0; 0.0; 0.0; 0.0; 0.0; -0.2]
2,2,3,2,2,0.4,0.037719078,true,2.3755603990378144e-11,0.039999994683675766,0.0399999987141094,[0.0; 0.0; 0.0; 0.0; 0.0; 0.2]
3,2,3,2,2,0.4,0.03995875,true,2.3755603990378144e-11,0.03999999468367599,0.0399999987141094,[0.0; 0.0; 0.0; 0.0; 0.0; 0.2]
4,2,3,2,2,0.4,0.039230469,true,2.3755603990378144e-11,0.0399999946836761,0.0399999987141094,[0.0; 0.0; 0.0; 0.0; 0.0; 0.2]
5,2,3,2,2,0.4,0.04036118,true,2.3755603990378144e-11,0.03999999468367599,0.0399999987141094,[0.0; 0.0; 0.0; 0.0; 0.0; 0.2]
6,2,3,2,2,0.4,0.038153904,true,2.3755603990378144e-11,0.0399999946836761,0.0399999987141094,[0.0; 0.0; 0.0; 0.0; 0.0; 0.2]
7,2,3,2,2,0.4,0.040545225,true,3.138108178948275e-10,0.039999914842736566,0.04000000809340894,[0.0; 0.0; 0.0; 0.0; 0.0; -0.2]
8,2,3,2,2,0.4,0.043094577,true,2.3755603990378144e-11,0.0399999946836761,0.0399999987141094,[0.0; 0.0; 0.0; 0.0; 0.0; 0.2]
9,2,3,2,2,0.4,0.043526345,true,2.3755603990378144e-11,0.03999999468367573,0.0399999987141094,[0.0; 0.0; 0.0; 0.0; 0.0; 0.2]
10,2,3,2,2,0.4,0.049159937,true,3.138108178948275e-10,0.039999914842736434,0.04000000809340894,[0.0; 0.0; 0.0; 0.0; 0.0; -0.2]
11,2,3,2,2,0.4,0.045364981,true,3.138108178948275e-10,0.03999991484273666,0.04000000809340894,[0.0; 0.0; 0.0; 0.0; 0.0; -0.2]
12,2,3,2,2,0.4,0.043495494,true,3.138108178948275e-10,0.03999991484273684,0.04000000809340894,[0.0; 0.0; 0.0; 0.0; 0.0; -0.2]
13,2,3,2,2,0.4,0.042819248,true,2.3755603990378144e-11,0.03999999468367571,0.0399999987141094,[0.0; 0.0; 0.0; 0.0; 0.0; 0.2]
14,2,3,2,2,0.4,0.042283023,true,3.138108178948275e-10,0.03999991484273674,0.04000000809340894,[0.0; 0.0; 0.0; 0.0; 0.0; -0.2]
15,2,3,2,2,0.4,0.044864682,true,2.3755603990378144e-11,0.039999994683676265,0.0399999987141094,[0.0; 0.0; 0.0; 0.0; 0.0; 0.2]
16,2,3,2,2,0.4,0.044900417,true,3.138108178948275e-10,0.039999914842736684,0.04000000809340894,[0.0; 0.0; 0.0; 0.0; 0.0; -0.2]
17,2,3,2,2,0.4,0.045263404,true,2.3755603990378144e-11,0.039999994683675766,0.0399999987141094,[0.0; 0.0; 0.0; 0.0; 0.0; 0.2]
18,2,3,2,2,0.4,0.040026741,true,3.138108178948275e-10,0.03999991484273624,0.04000000809340894,[0.0; 0.0; 0.0; 0.0; 0.0; -0.2]
19,2,3,2,2,0.4,0.04010809,true,2.3755603990378144e-11,0.03999999468367643,0.0399999987141094,[0.0; 0.0; 0.0; 0.0; 0.0; 0.2]
