id,d,n,m,K,ε,time,exact,sqerror,optval,dist_after_rounding,ν
1,2,5,1,2,0.4,0.016556314,true,1.376127029662652e-10,0.039999923986978526,0.03999999797749982,[0.0; 0.0; 0.0; 0.0; 0.0; -0.03273759713732503; -0.08258310099789934; -0.13924095186731597; 0.0010475615241819529; 0.03444308920574931; -0.010696532653208765; 0.06427081650709134; -0.05354889646956366; 0.03478311080773891; 0.05665961464116892]
2,2,5,1,2,0.4,0.016727517,true,1.923489069368421e-10,0.03999991415266635,0.03999999672827958,[0.0; 0.0; 0.0; 0.0; 0.0; -0.0915424508628887; -0.03936894848857269; 0.010896751664312107; 0.0836669364893185; 0.0249077105259768; -0.12063994802358419; 0.025075519140610226; -0.0031834700312496976; 0.055893500328598925; 0.06335439608429212]
3,2,5,1,2,0.4,0.01668639,true,1.6448148014814765e-10,0.03999990605322824,0.039999997955126834,[0.0; 0.0; 0.0; 0.0; 0.0; 0.04839776192103418; 0.14656494207467144; 0.08726521304240595; -0.010206126196367741; 0.011367147525872607; 0.03990539618489029; 0.007825086702851048; 0.0006705309257454338; 0.07809057793719933; -0.02398998400722884]
4,2,5,1,2,0.4,0.016511436,true,1.2812470579226177e-10,0.03999992434828176,0.03999999925775209,[0.0; 0.0; 0.0; 0.0; 0.0; 0.02622916459396457; 0.0737868051162268; -0.050384860804525804; -0.045521986258710734; 0.04908089509314234; 0.05548124127495155; -0.11879543312094852; -0.018098774286634724; 0.08746655757618939; 0.040978423985780735]
5,2,5,1,2,0.4,0.017389099,true,2.528129169731333e-10,0.03999990630210697,0.03999999583101225,[0.0; 0.0; 0.0; 0.0; 0.0; -0.04728364223196965; 0.027881135446627067; 0.012913875103843784; -0.02996148275251292; 0.029491428449475665; -0.04702432314413596; -0.04774736192299179; -0.12402667749011952; -0.10860385162110504; 0.05817375386393921]
6,2,5,1,2,0.4,0.017533732,true,2.346061623143776e-10,0.03999991901427764,0.039999996921687084,[0.0; 0.0; 0.0; 0.0; 0.0; -0.07624969278356514; -0.030946599413796457; -0.04247320578218161; 0.0034254316702856447; 0.02102052788555539; -0.07626579575154113; -0.08499370272347247; 0.028332785117391956; -0.12906382042381268; -0.0216819139340356]
7,2,5,1,2,0.4,0.017955932,true,1.6574806644943667e-10,0.039999931810189356,0.0399999979515664,[0.0; 0.0; 0.0; 0.0; 0.0; -0.08253019982688019; -0.017380636664661744; 0.08997630901195358; -0.014862040032098997; -0.03337140996611359; -0.08870735944799292; -0.11540136844883944; -0.024981873246667147; -0.026158863044031366; 0.03100904059206608]
8,2,5,1,2,0.4,0.018101136,true,7.160619381771089e-11,0.03999990672891529,0.03999999907605331,[0.0; 0.0; 0.0; 0.0; 0.0; 0.047980585299832075; 0.09499422934719383; 0.027851760763108642; 0.03457620258323248; 0.0036440620549270304; 0.08381865096585873; -0.10334411448636714; 0.024186733659036806; 0.04370919804093864; 0.08055049315114682]
9,2,5,1,2,0.4,0.016235492,true,1.1880094185759285e-10,0.03999992448487076,0.03999999843484039,[0.0; 0.0; 0.0; 0.0; 0.0; 0.05528734760586421; -0.05682025972682667; 0.13777808139526615; -0.009474591765277684; 0.015345219134825897; 0.06100545843164086; -0.016683147219076405; -0.0659281001823136; 0.05392902664187459; 0.05614157335818074]
10,2,5,1,2,0.4,0.015639915,true,1.4648083540852017e-10,0.0399999704157342,0.03999999915577111,[0.0; 0.0; 0.0; 0.0; 0.0; -0.01500116579058116; 0.0047785419450549985; 0.13939841086055274; 0.08044909250325188; -0.027042219742123837; -0.03579600869152659; -0.08765663610173272; -0.05354373706332221; 0.005933435249088571; -0.035351067235665515]
11,2,5,1,2,0.4,0.016749555,true,2.313273749083086e-10,0.039999874018666705,0.03999999194649945,[0.0; 0.0; 0.0; 0.0; 0.0; 0.10967691063393654; -0.024778048855781838; 0.055030528898449386; -0.07124308771869835; -0.03227801370965657; -0.05448263886848828; -0.018348188843903747; 0.06847809873484857; 0.05004827415736479; -0.08781869400487519]
12,2,5,1,2,0.4,0.018795785,true,1.0952819295406224e-11,0.03999999786706217,0.039999999847520944,[0.0; 0.0; 0.0; 0.0; 0.0; -0.04570169342524273; -0.0022026738377708788; -0.04971942145228542; 0.029440930499146062; -0.013759561278854507; 0.013865566938561898; 0.06970272787157043; -0.005347358417211229; 0.07288948168771216; 0.1548747676648009]
13,2,5,1,2,0.4,0.015277805,true,1.3263082322611318e-10,0.039999931692152504,0.039999998032547814,[0.0; 0.0; 0.0; 0.0; 0.0; 0.02003843046647976; 0.015830413822581595; -0.018451444181177678; 0.05425507693116926; -0.09178132846521327; 0.011695480914875609; -0.05819628668006094; -0.034505255652975235; -0.13767091387715352; -0.06302771319032957]
14,2,5,1,2,0.4,0.015540663,true,5.862110390186014e-11,0.03999985924892231,0.039999996577957296,[0.0; 0.0; 0.0; 0.0; 0.0; 0.057823659750136924; -0.13203883823326734; 0.028667798322528693; 0.02364459648056536; 0.07236935713391034; 0.0001728362009843077; 0.052656225587342786; 0.007938684590073275; 0.07291728647921057; 0.06671787443987265]
15,2,5,1,2,0.4,0.016717033,true,2.004687453656848e-10,0.039999938003041025,0.03999999787978853,[0.0; 0.0; 0.0; 0.0; 0.0; -0.09343362357066448; 0.11376173207571556; -0.05318054848152501; 0.0004219819717360303; 0.0016543968652451028; 0.0656243080922959; -0.05015149513354579; -0.08414770418715736; -0.006869068544772422; -0.039339521700901214]
16,2,5,1,2,0.4,0.014980444,true,1.4019896982408723e-10,0.03999992723468471,0.03999999814963447,[0.0; 0.0; 0.0; 0.0; 0.0; -0.009915267361344631; 0.11680304559412401; 0.08430807373844335; -0.00048024303339798456; 0.01582764167207683; 0.03774148502265676; -0.07121894458146884; -0.055188864406827035; 0.0561796580106838; -0.07875034827609444]
17,2,5,1,2,0.4,0.015548452,true,9.947082581706667e-11,0.039999916944268854,0.03999999928485688,[0.0; 0.0; 0.0; 0.0; 0.0; -0.013239031321123107; 0.006310257317598079; 0.04574086308747635; 0.0939711764490485; 0.013661464171901352; -0.14396528760145536; 0.01789857651627364; 0.022493202919940516; -0.048690567548347635; 0.06893755085932438]
