id,d,n,m,K,ε,time,exact,sqerror,optval,dist_after_rounding,ν
1,2,5,3,2,0.4,60.160760808,true,4.620498842115836e-15,0.03999999814175598,0.03999999947801019,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.02675984093027178; 0.19801521704599281; -0.00859562281716195]
2,2,5,3,2,0.4,69.716510597,true,1.6068857275222247e-13,0.03999999998304829,0.03999999999850378,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.04090450478396382; -0.19515361364183204; 0.01555276730724279]
