id,d,n,m,K,ε,time,exact,sqerror,optval,dist_after_rounding,ν
1,2,5,2,2,0.4,1.579057923,true,2.0752080395222414e-15,0.03999999994864111,0.03999999997988211,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.02776370440097561; 0.04782161285988164; -0.09525880596610503; 0.14145121757579657; 0.06562275296678514; 0.05960903695507717]
2,2,5,2,2,0.4,1.560990904,true,8.297126746309718e-13,0.04000000008907756,0.039999999889275765,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.08857027117919915; 0.06323028483394914; 0.116978436506723; -0.031976537286009625; -0.11594984332773091; -0.002533462250451943]
3,2,5,2,2,0.4,1.549879691,true,1.1748083752211309e-15,0.03999999997552757,0.03999999999132371,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.07707616145789901; -0.013150986317005488; -0.11836938762222451; 0.04858295930207496; -0.020547222665767566; 0.1307383366649648]
4,2,5,2,2,0.4,1.542247566,true,3.908600274350887e-16,0.039999999967403194,0.03999999997717832,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.18107542767563975; -0.019640717905691593; 0.03935893798965866; 0.05726217691491053; -0.03847426434568653; 0.022750379570089324]
5,2,5,2,2,0.4,1.483661886,true,2.1486522685737464e-14,0.039999999938792476,0.0399999999629037,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.14136234270761597; -0.08582841065542296; 0.01848187816690169; -0.004972515432765473; 0.11045539213754835; -0.009136334386051588]
6,2,5,2,2,0.4,1.53740108,true,1.6267259886601804e-14,0.03999999947555515,0.039999999872017994,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.02907936097488111; -0.11269930881490542; -0.09379054621611643; 0.06043036534169597; 0.04885349721082751; 0.10778727547052343]
7,2,5,2,2,0.4,1.648488421,true,9.3950853305889e-16,0.0399999999351076,0.03999999999695564,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.08450922082804391; -0.09687809674018152; 0.12832576686169536; -0.0674999311544133; -0.04827250820569698; 0.010901732526306605]
8,2,5,2,2,0.4,1.491647145,true,9.544256264569595e-11,0.0399999689423227,0.040000000496448064,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.05082714766451646; 0.09667011478005785; 0.08755042007161822; -0.12354230575817303; 0.002847757587954439; -0.07166312077112895]
9,2,5,2,2,0.4,1.734709011,true,5.658691265113339e-17,0.03999999998970475,0.04000000000054176,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.040991663316777505; -0.08589827148541895; 0.12561461976512062; -0.10442326552733056; 0.050807467083845606; 0.04094533796096883]
10,2,5,2,2,0.4,1.661015538,true,1.2235787169102548e-15,0.039999999887521565,0.03999999998489384,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.09432910184366589; 0.09087598697811577; 0.11867771054973104; 0.05699876814365754; 0.05515834516062243; -0.04967770067185195]
