id,d,n,m,K,ε,time,exact,sqerror,optval,dist_after_rounding,ν
1,2,4,1,2,0.4,0.077112776,true,4.954890730230131e-10,0.03999998361545052,0.040000000164964515,[0.0; 0.0; 0.0; 0.0; -0.08553619639633503; 0.06693269863214421; 0.024848030893233328; -0.0945295656767828; -0.1145315297656176; -0.07438305064395609]
2,2,4,1,2,0.4,0.008760283,true,5.302695797549467e-11,0.03999999251163292,0.039999998579996116,[0.0; 0.0; 0.0; 0.0; 0.15766191740951996; 0.009407112858180052; 0.05453540148459181; 0.10201865464073134; -0.014653182570454905; -0.03817845409643576]
3,2,4,1,2,0.4,0.009068259,true,5.63158620093075e-11,0.03999999276581366,0.039999998392687384,[0.0; 0.0; 0.0; 0.0; 0.07299527993374742; 0.054026079297470345; 0.008638458489863483; 0.06740464628332854; 0.15796829891940067; 0.04669988323311346]
4,2,4,1,2,0.4,0.009256499,true,7.860069561143703e-11,0.03999999491934714,0.03999999868078813,[0.0; 0.0; 0.0; 0.0; 0.04641305284110848; -0.07047164110664654; 0.1278095291363768; -0.08635249064532946; 0.06582872653380249; 0.06895017556125778]
5,2,4,1,2,0.4,0.009013268,true,1.1179066515708776e-10,0.0399999963975437,0.03999999912019345,[0.0; 0.0; 0.0; 0.0; 0.0591509867457714; -0.00376467373001844; 0.11604780688946569; -0.10346299185702086; -0.11092566365962525; -0.003286483305768165]
6,2,4,1,2,0.4,0.008987213,true,1.0481749802924468e-10,0.03999999739015864,0.03999999955532982,[0.0; 0.0; 0.0; 0.0; -0.16236386491286692; 0.06470397818497134; 0.07107423151195175; 0.01419890965576946; 0.06394806239728143; -0.010433622228222004]
7,2,4,1,2,0.4,0.008803613,true,9.178421525903473e-11,0.039999996073546686,0.03999999904160412,[0.0; 0.0; 0.0; 0.0; -0.04047391531806089; 0.17082464765409147; -0.09365673455015149; -0.0014218622073944318; 0.003716134780941462; 0.019833977317660168]
8,2,4,1,2,0.4,0.007697699,true,5.428569960183993e-11,0.03999999241616527,0.03999999822895892,[0.0; 0.0; 0.0; 0.0; 0.1099494928197604; -0.10107697543031519; 0.10141213427780404; 0.0431666664382054; 0.07248959613929806; -0.017088898382626515]
9,2,4,1,2,0.4,0.007801058,true,8.569125930387832e-11,0.039999993377634324,0.03999999808636602,[0.0; 0.0; 0.0; 0.0; -0.011348526440000173; -0.16044951329532342; -0.03828035907294612; 0.10994322854727429; 0.0008127723681728811; -0.0239500446316937]
10,2,4,1,2,0.4,0.007720054,true,1.3493025659366932e-10,0.0399999970840122,0.03999999931003078,[0.0; 0.0; 0.0; 0.0; -0.01550478524168065; 0.015717242218636365; -0.09629457134913182; -0.15236834316966444; -0.030864358287926365; 0.07791793662272456]
