id,d,n,m,K,ε,time,exact,sqerror,optval,dist_after_rounding,ν
1,2,6,1,2,0.4,0.419824678,true,4.6921777481376164e-11,0.03999999858140753,0.04000000003666024,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.10155524069434832; -0.10665419473092436; 0.00971656582092472; 0.020125867190673462; -0.04095674305275176; 0.05099155670442227; -0.02866425481901861; 0.010518738960037457; -0.05470683668554788; 0.00034077405215909303; 0.022432967094030445; 0.05766112740020371; -0.036762519624379195; -0.03755656761289042; 0.05494633990741236]
2,2,6,1,2,0.4,0.042301794,true,1.182960490489122e-11,0.03999999873365301,0.03999999996397016,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.06751909777666847; 0.06310488646982317; -0.08029419991117315; -0.04447304921348566; -0.051727468661216705; -0.025749730337264267; 0.055313614587553885; 0.07699819975302716; 0.0403706678828645; 0.018186795739953895; -0.07346127971379687; 0.031837238052575885; -0.04692911168589106; -0.009248426397484069; -0.006945582753909184]
3,2,6,1,2,0.4,0.043945041,true,2.1560655108512245e-11,0.03999999938032888,0.039999999981212786,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.04755662793893959; 0.034342084008643935; -0.048767914471132094; -0.035714020267449256; 0.03983887537383554; 0.03436259871767244; 0.0094457377971872; -0.01152706320493604; 0.056322968912897946; 0.1442389667777192; 0.03453873745190841; -0.06479097432650252; 0.005746757743440829; -0.01769831083897291; 0.014176100127121397]
4,2,6,1,2,0.4,0.041511293,true,1.7604564923312172e-10,0.03999998692716242,0.03999999980641779,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.010053976694454368; 0.018098857398223967; 0.07061915987897549; -0.023988416313733843; 0.05024783178585571; 0.10869529781940941; 0.06675593122773875; -0.02820025258146902; 0.003394849087802804; 0.02967070148775657; -0.06678948950365253; -0.027699819761259903; 0.05187679829664658; 0.05632079096527039; -0.049340581074282734]
