id,d,n,m,K,ε,time,exact,sqerror,optval,dist_after_rounding,ν
1,2,6,3,2,0.4,374.900336147,true,3.47659789769323e-14,0.03999999994624112,0.039999999994572426,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0438047923984966; -0.055855110429708234; -0.04818054666834826; 0.10625686215192194; -0.1446172065342138; 0.020864432520843423]
2,2,6,3,2,0.4,369.284212011,true,1.2711339411078075e-10,0.039999997631337623,0.03999999989827984,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.09063738302270564; 0.09439853508432966; -0.01893847588167372; 0.022350448369082718; 0.1390542256963223; 0.051763841411784944]
3,2,6,3,2,0.4,400.468684563,true,4.477263794112335e-17,0.03999999997963229,0.0399999999998517,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.035069010947781865; 0.0381975743268678; 0.05975215876991183; -0.13657952379212096; -0.0673645167777697; 0.10270756967740047]
4,2,6,3,2,0.4,361.565329571,true,6.601711100166754e-13,0.039999999882620485,0.03999999998628857,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.06333318471860289; 0.14819392216140304; 0.05066252787106382; 0.03947804136019246; 0.0024594375863945216; 0.09947971066832967]
