id,d,n,m,K,ε,time,exact,sqerror,optval,dist_after_rounding,ν
1,2,7,2,2,0.4,27.400576833,true,5.395890075139086e-12,0.03999997845626625,0.039999998803594505,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.008654250037522487; 0.01111931039659915; -0.04030494851345138; 0.004233309696870164; -0.13154628771298635; -0.006652222105931462; -0.05905888622814906; -0.011043018218131168; -0.08483673710232131; 0.036892664846487615; 0.03035907662953843; 0.06087119922501643; 0.023785398518149203; -0.009338085575257383; -0.05798460836833522]
2,2,7,2,2,0.4,31.815576949,true,7.399662409752949e-10,0.039999998810364416,0.0400000002923539,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.09409424781766301; 0.05931894702755633; -0.018962533133180588; -0.03561365146514064; -0.013400744812456612; -0.0028643320211479673; 0.014409801761947134; -0.011050035207330864; -0.007323733999636416; 0.11104602213010702; -0.009999765406440438; -0.09550849786166896; -0.03992645691349828; -0.03965646964409189; 0.026619787084286625]
3,2,7,2,2,0.4,29.677000908,true,7.492403740529987e-12,0.03999997299638429,0.039999989969281925,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.05179583718814251; -0.08705657878355127; -0.0407692190761684; -0.06808338726041308; -0.0688103845922469; 0.0029178261095607855; -0.0036563956327511265; 0.011906395380483022; -0.015960343683595803; 0.02421715349854552; -0.021989638580758638; 0.056634523922277115; 0.02592433420318939; -0.09534418228865077; 0.06517324205206088]
4,2,7,2,2,0.4,38.358659289,true,2.9944767810947016e-18,0.03999999999979161,0.040000000002993474,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.01699047096765695; 0.019661972967219457; 0.0299340614171493; 0.0001717329600925728; 0.0020598326603448736; 0.04585267996114015; 0.03674989128701262; -0.08042946554058623; 0.07364895537381122; 0.05747892259359836; -0.03453042271117031; 0.06804952186452692; -0.11305628079343491; -0.01046195868445852; 0.03256118376384175]
