id,d,n,m,K,ε,time,exact,sqerror,optval,dist_after_rounding,ν
1,3,3,1,4,0.04,0.149750022,true,3.2614691401860882e-12,0.0003999994840618796,0.00039999996585700023,"[0.0, 0.0, 0.0, -0.01057600111848698, 0.0019108490889390092, -0.0033717256947172996, 0.009031050658938113, -0.0025875417764712944, 0.013538657857372715, 0.0012561118231891064]"
2,3,3,1,4,0.04,0.118034027,true,5.1018137384547335e-9,0.0003999902295674634,0.0004000049781336282,"[0.0, 0.0, 0.0, -0.01052978847505864, -0.0014975220417994628, -0.0007534527702075368, -0.0025557039633016232, -0.013604816860109994, -0.0009718344633471044, -0.009682260302150303]"
3,3,3,1,4,0.04,0.144206984,true,1.778579448222135e-11,0.000399998702868741,0.00040000002483182466,"[0.0, 0.0, 0.0, -0.0030157278399042444, -0.007899043842256603, 0.009180761181250845, -0.006357194435473243, 0.008865622330360515, 0.004561997744877526, -0.010217588379226553]"
4,3,3,1,4,0.04,0.104949733,true,9.527710242452582e-12,0.00039999882863739914,0.0004000000181438021,"[0.0, 0.0, 0.0, 0.009172547296383624, -0.009181004924792874, -0.004972454744198305, 0.014209134986929467, -0.0005399902434110681, -0.00026509738014728876, 0.0021416898287826137]"
5,3,3,1,4,0.04,0.148983666,true,5.98847640155936e-11,0.00039999937906569957,0.00040000007000410377,"[0.0, 0.0, 0.0, -0.004744464970871883, 0.004911205526922069, -0.010384926496018458, 0.006296336789859961, 7.831697469348147e-5, 0.008221037572572682, 0.01175959033279955]"
6,3,3,1,4,0.04,0.130685155,true,9.40501566984572e-12,0.00039999875855635064,0.0004000000069922364,"[0.0, 0.0, 0.0, -0.007222518387170206, -0.002538360174399441, 0.012589507590165666, 0.011516325242931898, -0.002052218955596303, -0.0061160130745276, 0.002941647283186821]"
7,3,3,1,4,0.04,0.137757298,true,2.2727867051328391e-13,0.00039999894557054297,0.00040000001602374555,"[0.0, 0.0, 0.0, 0.005504231455511296, -0.012567777305185199, 0.009573565766102653, 0.008005032615670237, -0.005864432146750936, -0.0009146255144271892, -0.004559889998685041]"
8,3,3,1,4,0.04,0.151572921,true,5.917335966248081e-13,0.0003999994790254791,0.0003999999681904501,"[0.0, 0.0, 0.0, -0.012689865169774502, 0.0056057874634876225, 0.00010873557011258713, -0.005252000839474902, 0.0008310499836378822, 0.002856666032192714, -0.013080364970072813]"
9,3,3,1,4,0.04,0.118697335,true,6.357038317811727e-9,0.00039998863805028475,0.0004000063161236614,"[0.0, 0.0, 0.0, -0.0027882923711607392, 0.0006407489268236249, 0.0068418367106167985, -0.0025868824441372673, 0.012075319239175602, -0.00036239663009042164, -0.013869661497876098]"
10,3,3,1,4,0.04,0.123488312,true,2.9006322533004987e-9,0.0003999916336525057,0.00040000288033842005,"[0.0, 0.0, 0.0, 0.004364762252839148, 0.0034250248660598025, 7.009064978816413e-5, 0.010315241955793112, -0.014850577845209835, -0.006488845319362776, -0.00040515419542064306]"
