id,d,n,m,K,ε,time,exact,sqerror,optval,dist_after_rounding,ν
1,3,2,1,4,0.04,0.013652139,true,1.9587912233338352e-11,0.0003999944313118393,0.0004000000828897985,"[0.0, 0.0, -0.01678673460603107, 0.010872237178551566]"
2,3,2,1,4,0.04,0.013295634,true,1.9192606427750736e-11,0.0003999936580054708,0.00040000008286307764,"[0.0, 0.0, -0.01986091337180043, -0.0023545955146986107]"
3,3,2,1,4,0.04,0.010349929,true,2.343747876988723e-11,0.00039999235417839245,0.00039999996583862685,"[0.0, 0.0, 0.011579433275668436, -0.016306953271973974]"
4,3,2,1,4,0.04,0.013510335,true,2.010035259079755e-11,0.0003999962387684075,0.00040000006335796863,"[0.0, 0.0, -0.012913907139962313, -0.015271902382494148]"
5,3,2,1,4,0.04,0.014318673,true,2.3672353136119044e-11,0.00039999164019762857,0.0003999999670579283,"[0.0, 0.0, 0.013026753247601887, 0.015175760271765423]"
6,3,2,1,4,0.04,0.013379525,true,2.2372318902882453e-11,0.00039999519566195414,0.0003999999977181607,"[0.0, 0.0, 0.0034618426438174556, 0.019698112739789237]"
7,3,2,1,4,0.04,0.014281022,true,2.4514661276864295e-11,0.00040000147047458635,0.0003999999458862134,"[0.0, 0.0, 0.018250820765654537, -0.008179703012943273]"
8,3,2,1,4,0.04,0.014019044,true,2.466826451465306e-11,0.0003999925701727487,0.00039999993363133306,"[0.0, 0.0, 0.019876613157996503, 0.002218163512313812]"
9,3,2,1,4,0.04,0.013476881,true,2.434387978942415e-11,0.0003999909705221378,0.0003999999435838651,"[0.0, 0.0, 0.018118124847164727, -0.008469566223989998]"
10,3,2,1,4,0.04,0.015003622,true,2.0080529337517182e-11,0.0003999973913262343,0.0004000000752119137,"[0.0, 0.0, -0.014280641405024145, -0.014002259855505827]"
11,3,2,1,4,0.04,0.014167151,true,2.4403863943534883e-11,0.000399996408602038,0.00039999994344363133,"[0.0, 0.0, 0.01759715441525382, 0.00950474389374658]"
12,3,2,1,4,0.04,0.011244062,true,2.4607645342328038e-11,0.0003999949527463433,0.0003999999221554799,"[0.0, 0.0, 0.019336168225085163, 0.005110048764073275]"
13,3,2,1,4,0.04,0.010671128,true,2.4773933320670834e-11,0.00039999851196359515,0.00039999994623462565,"[0.0, 0.0, 0.01998507837743689, 0.0007724262085821324]"
14,3,2,1,4,0.04,0.011676597,true,1.9644164808040056e-11,0.00039999457174566544,0.0004000000847358863,"[0.0, 0.0, -0.01613089229677128, -0.011823464539210364]"
15,3,2,1,4,0.04,0.01147465,true,2.424138620516559e-11,0.0003999980929309457,0.00039999995820112343,"[0.0, 0.0, 0.016570274191957744, -0.01119937557202807]"
16,3,2,1,4,0.04,0.013463361,true,1.9234816517903797e-11,0.00039999058176084677,0.0004000000937867425,"[0.0, 0.0, -0.019094848137493174, 0.005948678391548289]"
17,3,2,1,4,0.04,0.013344111,true,2.1192224121293097e-11,0.0003999931805322602,0.00040000003176234657,"[0.0, 0.0, -0.005052333850211489, -0.01935132870544054]"
18,3,2,1,4,0.04,0.011898315,true,1.9758051362311613e-11,0.0003999993831482299,0.00040000005940363963,"[0.0, 0.0, -0.015934367998896266, 0.012087014373936627]"
19,3,2,1,4,0.04,0.010512526,true,2.3355445851271038e-11,0.0003999964627792275,0.00039999997586336923,"[0.0, 0.0, 0.01055350955630205, -0.016988920979421892]"
20,3,2,1,4,0.04,0.011383916,true,2.384834559121697e-11,0.00039999958294307706,0.0003999999614863141,"[0.0, 0.0, 0.013745204551857595, 0.01452822603856346]"
