id,d,n,m,K,ε,time,exact,sqerror,optval,dist_after_rounding,ν
1,3,2,1,3,0.04,0.736758665,true,2.963459418226277e-10,0.00039999359629151754,0.0004000002941868642,"[0.0, 0.0, -0.0009847689811443602, 0.019975741038914575]"
2,3,2,1,3,0.04,0.006264658,true,3.0424061973100505e-10,0.0003999935603745954,0.00040000029744985844,"[0.0, 0.0, 0.019855708184099177, -0.0023980935152526843]"
3,3,2,1,3,0.04,0.00607748,true,3.017069223159263e-10,0.0003999935205509385,0.00040000030710736717,"[0.0, 0.0, 0.007306808312191214, -0.018617479751268522]"
4,3,2,1,3,0.04,0.008212266,true,2.8768146273443925e-10,0.0003999937386339423,0.00040000028257931923,"[0.0, 0.0, -0.01746131962786462, -0.009752041676159392]"
5,3,2,1,3,0.04,0.008138396,true,3.0034342904421105e-10,0.00039999360340246815,0.0004000003065189039,"[0.0, 0.0, 0.011492079094947661, 0.016368632138192455]"
6,3,2,1,3,0.04,0.007501782,true,2.898249846575285e-10,0.0003999936447946598,0.0004000002760022523,"[0.0, 0.0, -0.019036390056621506, 0.0061331764700000195]"
7,3,2,1,3,0.04,0.008262726,true,2.9418952858297863e-10,0.0003999936355851346,0.00040000028296526685,"[0.0, 0.0, -0.010483790046262296, 0.017032032945772844]"
8,3,2,1,3,0.04,0.007805131,true,2.911541753870089e-10,0.0003999937702617171,0.00040000029098172214,"[0.0, 0.0, 0.004619043415129991, -0.0194593020925506]"
9,3,2,1,3,0.04,0.007693402,true,2.8827323782833676e-10,0.0003999936990320737,0.00040000027758121135,"[0.0, 0.0, -0.018091615782509163, 0.008526044708894348]"
10,3,2,1,3,0.04,0.008228995,true,2.9179205501855375e-10,0.0003999937376035767,0.00040000029832066317,"[0.0, 0.0, -0.010041793924895041, 0.01729631101622369]"
11,3,2,1,3,0.04,0.007347045,true,2.88693417929712e-10,0.0003999936426281338,0.00040000027962744584,"[0.0, 0.0, -0.01989266981789482, -0.0020692238922399037]"
12,3,2,1,3,0.04,0.007375387,true,2.9199681566028106e-10,0.00039999364300664003,0.0004000002821207721,"[0.0, 0.0, -0.019957029256147, -0.0013103370823161274]"
13,3,2,1,3,0.04,0.007179543,true,2.9822386815243043e-10,0.00039999355115316604,0.00040000029808318164,"[0.0, 0.0, 0.006857757732664518, 0.018787526683416315]"
14,3,2,1,3,0.04,0.006654923,true,3.003802996604868e-10,0.00039999372856316067,0.00040000029211678304,"[0.0, 0.0, 0.009629498894058452, -0.017529197102244213]"
15,3,2,1,3,0.04,0.006898943,true,2.873680940992381e-10,0.00039999368176238864,0.00040000026970971134,"[0.0, 0.0, -0.01800771010374198, -0.008701860537815409]"
16,3,2,1,3,0.04,0.007805092,true,3.0182997507130744e-10,0.00039999362185726904,0.00040000031666764346,"[0.0, 0.0, 0.019923392438031068, -0.0017488378313058335]"
17,3,2,1,3,0.04,0.008525661,true,2.981532205218323e-10,0.0003999936101748425,0.00040000030095581736,"[0.0, 0.0, 0.009072869174806032, -0.017823665305903118]"
18,3,2,1,3,0.04,0.008675066,true,2.995624409492493e-10,0.00039999361169416403,0.000400000300992218,"[0.0, 0.0, 0.0088519443906702, -0.017934410514552253]"
19,3,2,1,3,0.04,0.007690476,true,3.0775025628146086e-10,0.00039999346017853413,0.0004000003172420954,"[0.0, 0.0, 0.019997081646324275, 0.0003416513284634078]"
20,3,2,1,3,0.04,0.006986353,true,2.8967931821720254e-10,0.0003999937448022628,0.0004000002624182247,"[0.0, 0.0, -0.018714041027902452, -0.007055825139980702]"
