id,d,n,m,K,ε,time,exact,sqerror,optval,dist_after_rounding,ν
1,2,4,3,2,0.4,8.239973742,true,3.367437323113925e-13,0.039999999041100964,0.039999999236268055,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]"
2,2,4,3,2,0.4,8.610679085,true,3.367437323113925e-13,0.039999999041101984,0.039999999236268055,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]"
3,2,4,3,2,0.4,8.245738115,true,3.367437323113925e-13,0.039999999041102796,0.039999999236268055,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]"
4,2,4,3,2,0.4,8.320060476,true,3.367437323113925e-13,0.0399999990411013,0.039999999236268055,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]"
5,2,4,3,2,0.4,8.303274456,true,1.5154239905257142e-15,0.0399999991715525,0.040000000004327345,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.2]"
6,2,4,3,2,0.4,7.73367645,true,1.5154239905257142e-15,0.03999999917155212,0.040000000004327345,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.2]"
7,2,4,3,2,0.4,8.481086459,true,3.367437323113925e-13,0.03999999904110063,0.039999999236268055,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]"
8,2,4,3,2,0.4,8.18542694,true,3.367437323113925e-13,0.039999999041102186,0.039999999236268055,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]"
9,2,4,3,2,0.4,8.333022659,true,3.367437323113925e-13,0.039999999041101963,0.039999999236268055,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]"
10,2,4,3,2,0.4,8.612545435,true,3.367437323113925e-13,0.0399999990411008,0.039999999236268055,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]"
