id,d,n,m,K,ε,time,exact,sqerror,optval,dist_after_rounding,ν
1,2,5,1,2,0.4,0.017673027,true,3.2768384499477756e-10,0.03999997793323439,0.03999999386964828,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0694143758631675, 0.08739105715343493, -0.03403461875397272, -0.010207377809714592, 0.04740922351421131, -0.12983747173814286, 0.0016785981276337969, 0.03559117551659332, 0.017831998837011278, 0.0747594042728387]"
2,2,5,1,2,0.4,0.017255919,true,3.4645055511441197e-10,0.03999998552317924,0.0399999930504799,"[0.0, 0.0, 0.0, 0.0, 0.0, -0.07040383452919946, -0.0692766174836929, -0.13197516418759456, -0.02783893523611789, 0.03403701242856906, 0.032975413396461914, -0.03445152488597312, 0.011629683285501352, 0.06348651521860388, 0.06673087184772762]"
3,2,5,1,2,0.4,0.017311086,true,4.781330650381683e-10,0.03999998226755468,0.039999989888316934,"[0.0, 0.0, 0.0, 0.0, 0.0, -0.032427461766954206, 0.051481429579593896, -0.08445689266100584, 0.08523032852136178, 0.10213460834159625, -0.006662768107345446, -0.062178153993808896, 0.012562037699646245, -0.07720160935251565, 0.037961292156287574]"
4,2,5,1,2,0.4,0.018473812,true,3.8853176076678106e-10,0.03999999149476292,0.03999999304105907,"[0.0, 0.0, 0.0, 0.0, 0.0, -0.012444655994069416, 0.10801257261392948, -0.06466840002462715, 0.045414547961408064, -0.090977463028721, -0.07235599999820003, 0.0005136045176965435, 0.09174735662220909, -0.0010299149707667624, 0.0016553216404722926]"
5,2,5,1,2,0.4,0.019386347,true,7.097401968206081e-10,0.039999985480783984,0.03999998492688631,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.008641714429764703, 0.000633064638253217, 0.11270439626747347, -0.13447986516424823, 0.01491702657160436, 0.027979678249474973, -0.0741301402694051, 0.002493653226910727, -0.005860090471647352, 0.05095672858879742]"
6,2,5,1,2,0.4,0.018792534,true,6.507228289249663e-10,0.03999998259135038,0.039999986153335186,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.12445832987148442, 0.09785672194832595, 0.060263803001760576, 0.05903246634220506, 0.011335063111815159, -0.014142196152099601, 0.027658666178229253, -0.04858925284453032, -0.020737506065666905, 0.06271507975060646]"
7,2,5,1,2,0.4,0.01968372,true,4.728114640524825e-10,0.03999999039728972,0.039999991782070324,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.019485000271542027, -0.0664518776124253, -0.037768613078260994, -0.06567737614636154, -0.06977450748279608, -0.13506164870536708, -0.0429828206580776, -0.03320020925000739, 0.026534952628322762, 0.0519661960551317]"
8,2,5,1,2,0.4,0.017849642,true,5.136936854424458e-10,0.039999989068877174,0.039999991283637126,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.030481970506701712, 0.09561564256461186, -0.04643868261493511, 0.06449144776331117, -0.021447202297983275, 0.1313889561814113, -0.01677783922099407, -0.026858831700969584, -0.06979166433752514, 0.003998857367627798]"
9,2,5,1,2,0.4,0.018828869,true,1.815564882323856e-10,0.0399999901473622,0.03999999809236571,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.05772675065389127, 0.038154012988149195, -0.042414995177691935, 0.022368465502365556, 0.015306173093087598, 0.018338355400083158, -0.08027610407992855, -0.1379551570958368, -0.0808548897371472, -0.01812588821159871]"
10,2,5,1,2,0.4,0.019602139,true,5.688542439992596e-10,0.03999998814712722,0.03999998929657939,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.03459199411465719, -0.07068310145753233, -0.12448442594705292, 0.034780609069050075, 0.04542765432296367, 0.01723411347157878, -0.06926649077816197, -0.007933344195313465, 0.08392768378305782, -0.05325319517611077]"
