id,d,n,m,K,ε,time,exact,sqerror,optval,dist_after_rounding,ν
1,2,4,2,2,0.4,0.210425862,true,4.204354654086658e-14,0.03999998746108133,0.03999999927508714,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.17948312990909485, -0.03642204445940577, 0.08036940186060901]"
2,2,4,2,2,0.4,0.254205471,true,2.0659786693197433e-14,0.039999988803569086,0.039999997675450816,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17093341864140205, -0.06012993873131159, -0.08465315623018377]"
3,2,4,2,2,0.4,0.262475073,true,1.2929734788763494e-16,0.03999999738403459,0.03999999985515597,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014635892704005747, -0.16655059586424958, 0.10975741278847746]"
4,2,4,2,2,0.4,0.230609778,true,1.5518011956319097e-14,0.03999998548652117,0.03999999902608163,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04109020217780274, -0.10195459616100344, -0.167083379205216]"
5,2,4,2,2,0.4,0.264034552,true,5.113260247463556e-17,0.03999999993258998,0.03999999999738765,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06098254175512208, 0.04489636574992725, -0.18510928108426533]"
6,2,4,2,2,0.4,0.215208403,true,2.785657747547041e-17,0.03999999998442827,0.03999999999771619,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.026030297036575292, -0.024688247456691407, 0.19675597595423838]"
7,2,4,2,2,0.4,0.253807011,true,9.283989247078597e-14,0.03999999995447112,0.03999999999820336,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03984146888159386, -0.0017673171905395531, -0.19598350427345923]"
8,2,4,2,2,0.4,0.22678175,true,1.1790358568628512e-16,0.04000000001621801,0.039999999442582986,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1818977705877979, -0.07311668586634841, 0.039587261879430034]"
9,2,4,2,2,0.4,0.278558743,true,9.511962248862446e-13,0.03999999999084471,0.04000000000102982,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14949832945435246, -0.030071217593207272, 0.12940622613622527]"
10,2,4,2,2,0.4,0.215304786,true,1.4359392701361618e-14,0.039999984960041646,0.039999996683010325,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15735445732026335, -0.10841857581183129, -0.05903377999399676]"
11,2,4,2,2,0.4,0.276750174,true,3.7664590580423803e-13,0.039999999964040356,0.03999999999844317,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.07177232639328612, 0.12466878767013921, -0.13894756761078383]"
12,2,4,2,2,0.4,0.250229455,true,5.351050619602986e-18,0.03999999994762802,0.03999999999209783,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05372087899394076, -0.19262500441642783, -0.0031104394688759953]"
13,2,4,2,2,0.4,0.222481902,true,7.712142905776988e-17,0.03999999173572197,0.03999999829213763,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01141435544061917, -0.10279576357872056, 0.1711804412897192]"
14,2,4,2,2,0.4,0.227938825,true,3.755820101984637e-12,0.039999999972054216,0.04000000000251278,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.19403509337178715, 0.011495751524267853, -0.047098091650237234]"
15,2,4,2,2,0.4,0.224160946,true,2.061746123771818e-14,0.039999987701494884,0.03999999740619381,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15736236576050924, -0.09356588949181954, -0.0805140370734217]"
16,2,4,2,2,0.4,0.278722435,true,2.7513905919939374e-16,0.03999999997900397,0.03999999999986986,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017859450395489206, -0.1969690117702244, -0.029736315068149728]"
17,2,4,2,2,0.4,0.251318731,true,1.5988220625632917e-15,0.03999999552972078,0.04000000008897728,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11731984793730243, -0.0199575513706513, 0.16074124991195027]"
18,2,4,2,2,0.4,0.259408492,true,1.1653555165944694e-15,0.03999999061173806,0.03999999940924562,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.07714559413157457, 0.1704044788452257, -0.07078750522213231]"
19,2,4,2,2,0.4,0.253598289,true,2.0785921200953254e-16,0.0400000000132864,0.03999999995966849,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06414663991524697, 0.03045745054619181, 0.18696938865442633]"
20,2,4,2,2,0.4,0.240054402,true,1.9765150536037592e-11,0.039999999986394454,0.04000000001441983,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.018592479121321347, 0.15173155488409784, 0.12896454928613998]"
21,2,4,2,2,0.4,0.230011861,true,2.103390110688102e-16,0.03999999996389941,0.03999999997871806,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.026392987519843692, 0.028920656002953522, 0.19613007384421238]"
22,2,4,2,2,0.4,0.238950576,true,1.5110292102479044e-15,0.03999999079623993,0.03999999829533372,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03522035307463389, -0.1249878868502188, 0.15211033781441363]"
23,2,4,2,2,0.4,0.216386492,true,2.5826131851104708e-14,0.03999998705769378,0.039999997383467045,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16568219344393142, -0.06644038284039763, -0.09019471327982077]"
24,2,4,2,2,0.4,0.247766833,true,6.086623047619112e-14,0.0399999999696944,0.03999999999893725,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.039243951857109285, 0.19554743545669576, -0.014869859748710102]"
25,2,4,2,2,0.4,0.226977421,true,2.1558711062354965e-15,0.039999987534902054,0.0399999991830557,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.030604837453632863, 0.16255828165058794, -0.11241952228703352]"
26,2,4,2,2,0.4,0.236629763,true,8.53155086844287e-13,0.039999999639070354,0.03999999998676373,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.08886459566709787, -0.1629840672779618, -0.07442632229565044]"
27,2,4,2,2,0.4,0.221776858,true,1.0523083898545362e-15,0.0399999910121453,0.039999999328390094,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.18131428207729158, 0.0722299769070557, 0.043680219216512]"
28,2,4,2,2,0.4,0.217532036,true,1.8866969258514253e-17,0.03999999998726615,0.03999999999835796,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02741101017619553, -0.024378512115281296, 0.19660703107510066]"
29,2,4,2,2,0.4,0.214900347,true,1.198128297664066e-16,0.039999993251544345,0.03999999946168588,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.19167431753873798, -0.0013368059327221445, 0.05708913159225041]"
30,2,4,2,2,0.4,0.219514174,true,3.6971100566645663e-16,0.039999991078586095,0.03999999806829011,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.055811745706790386, -0.13228478974690774, 0.139232838952515]"
31,2,4,2,2,0.4,0.26299584,true,6.636427238507731e-16,0.039999999824913646,0.0399999999573572,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11692289548013493, -0.15641599362440506, 0.04316333456802811]"
32,2,4,2,2,0.4,0.251884,true,2.279327810244472e-16,0.03999999996425919,0.03999999999828274,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08909873814256741, 0.07293628430453196, 0.16352893717397754]"
33,2,4,2,2,0.4,0.243621292,true,1.4319912967476972e-13,0.039999999996700175,0.04000000000009251,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1643986625754133, -0.08217103111518881, 0.0788733249513553]"
34,2,4,2,2,0.4,0.237561117,true,6.795769148704354e-12,0.039999999992109216,0.040000000007022835,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.18222557102991194, 0.031232974376541985, -0.07627806089837885]"
35,2,4,2,2,0.4,0.226379145,true,4.3512583935585434e-16,0.03999999063166723,0.039999998131256785,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024500736511103682, -0.12024543595926057, 0.15792640387655527]"
36,2,4,2,2,0.4,0.219683754,true,4.5651267123734573e-17,0.039999992702753895,0.039999999356822837,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01719933828837451, -0.13105554345420875, -0.15009539397451227]"
37,2,4,2,2,0.4,0.246835416,true,1.0490007233894461e-15,0.039999999994281166,0.039999999996812585,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02778529588354388, 0.18977117853753533, 0.056699886500228704]"
38,2,4,2,2,0.4,0.21484661,true,4.1818087929564346e-16,0.03999999477464877,0.03999999959751696,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0028709074715150924, -0.19725413160015326, 0.032902362482950004]"
39,2,4,2,2,0.4,0.263565426,true,1.7781966459689533e-14,0.03999999999367719,0.039999999999964835,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.15939323018544813, -0.06972511105467948, 0.09865194909104112]"
40,2,4,2,2,0.4,0.242573726,true,3.9852069445315826e-14,0.039999999987740426,0.039999999998673,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.16233384443966348, -0.05408858363587277, -0.10354780572133981]"
41,2,4,2,2,0.4,0.217029916,true,2.3423166049616326e-14,0.03999998897584364,0.03999999775576002,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.07271792632206883, 0.05540865038017572, 0.1778819402144738]"
42,2,4,2,2,0.4,0.213860858,true,7.701645498616966e-16,0.03999999548968527,0.03999999941965269,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.11467657787453443, -0.028939483882674373, 0.16128170621490298]"
43,2,4,2,2,0.4,0.247911421,true,1.722452618970376e-17,0.0399999999687638,0.03999999999834443,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16880550145823814, -0.08546831258448337, 0.06480640571265933]"
44,2,4,2,2,0.4,0.23693212,true,3.920703405828404e-15,0.03999998467586156,0.03999999928171112,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12115492460197141, -0.09042825647018302, 0.13093591820601955]"
45,2,4,2,2,0.4,0.201529653,true,7.248158252333983e-15,0.03999998573759056,0.03999999721291566,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16111306291031416, -0.10565304321686673, -0.05366577511479779]"
46,2,4,2,2,0.4,0.247985628,true,9.813547013224145e-19,0.039999999996489295,0.03999999999777448,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.007053744524014279, 0.1690921840527641, 0.10657428386086432]"
47,2,4,2,2,0.4,0.241380919,true,6.985076631558682e-14,0.039999999916195676,0.039999999996428684,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1441764838856295, 0.09450798637440017, -0.10139714989008819]"
48,2,4,2,2,0.4,0.205196238,true,2.121006723868671e-14,0.039999985969206786,0.039999999368537625,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03189923355027651, 0.07977561326228816, -0.18060534440467355]"
49,2,4,2,2,0.4,0.272451319,true,9.045780558853247e-14,0.039999999088404375,0.03999999997059105,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.14302747057039383, 0.042835325261943114, -0.1330724523405903]"
50,2,4,2,2,0.4,0.213815255,true,1.0178618207198399e-16,0.039999999966634406,0.03999999999825429,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1917180056181396, 0.055118575044501274, -0.014357890056226353]"
51,2,4,2,2,0.4,0.212534463,true,1.7721937000029312e-14,0.03999998973955728,0.039999999069026945,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10834792772923554, -0.06785442095400383, -0.15380671023650822]"
52,2,4,2,2,0.4,0.297414763,true,1.2565206850899059e-11,0.03999999970902657,0.040000000041602424,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1664945858597569, 0.017092261543542424, -0.10948701966313262]"
53,2,4,2,2,0.4,0.210069541,true,8.920120509080228e-15,0.039999977789770505,0.039999996336048976,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.10493901249642755, 0.0339661263136367, 0.16683556551143616]"
54,2,4,2,2,0.4,0.251902976,true,3.0718613370724563e-15,0.03999999957488321,0.039999999978620304,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.132895628356642, 0.12557306679604355, -0.08105650411367166]"
55,2,4,2,2,0.4,0.277093371,true,2.884502163015163e-13,0.039999999697827214,0.039999999858173756,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14917895969980535, -0.06124654594910389, 0.1182983456866078]"
56,2,4,2,2,0.4,0.262061411,true,1.1576782334536285e-12,0.03999999999968429,0.040000000001037754,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02845128042888855, -0.18350493155801562, -0.07427290714550462]"
57,2,4,2,2,0.4,0.227541556,true,1.0730471216227745e-15,0.03999999998081786,0.03999999999948918,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1542571602411949, 0.0993032190451481, -0.07964671494539904]"
58,2,4,2,2,0.4,0.212185229,true,2.4952231529570226e-14,0.0399999880361781,0.03999999759012436,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.09321524270998113, -0.031784754412984936, 0.17407081292803095]"
59,2,4,2,2,0.4,0.24289717,true,4.602685835786607e-15,0.03999999938640264,0.0399999998902315,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10270477537163032, 0.11533391647114904, 0.12708192958595244]"
60,2,4,2,2,0.4,0.200302253,true,3.212417233887386e-14,0.03999998943305037,0.03999999771260341,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17325940382358102, 0.06447355662843, -0.07631736029487594]"
61,2,4,2,2,0.4,0.230978751,true,4.219332437317562e-20,0.039999999974003685,0.04000000001495435,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.13084861840254042, -0.10598153309719155, -0.10791919988822776]"
62,2,4,2,2,0.4,0.191115618,true,8.14685377776124e-15,0.039999971813994284,0.03999999697475734,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08859858043106578, 0.17790154116488988, 0.022390471115118608]"
63,2,4,2,2,0.4,0.211031326,true,6.723703064871669e-14,0.03999999999780075,0.039999999999712724,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04386940297466572, -0.18846556510350104, -0.050558938407213455]"
64,2,4,2,2,0.4,0.226393558,true,4.993722743317284e-18,0.03999999996854903,0.03999999999419197,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05186495333516822, 0.0781721050555552, 0.1766328072774819]"
65,2,4,2,2,0.4,0.231250425,true,1.5025221160621117e-14,0.03999998969089198,0.03999999903505634,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.16258561848516206, 0.013068860391953244, 0.1157372954144556]"
66,2,4,2,2,0.4,0.226345312,true,1.5932195485965699e-15,0.03999999061463357,0.03999999827547852,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03719517927844307, 0.12717975238218257, 0.14980597191851602]"
67,2,4,2,2,0.4,0.240490391,true,4.9222810536888395e-12,0.03999999984068319,0.03999999999879697,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18170508537201904, 0.006746154871265913, 0.08329316505212282]"
68,2,4,2,2,0.4,0.212882698,true,2.4492774933929756e-18,0.039999999949827794,0.039999999994563024,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03483949569710857, -0.1968410089249167, -0.006310843445373457]"
69,2,4,2,2,0.4,0.252454116,true,1.9901849874551185e-17,0.03999999994496728,0.03999999999547032,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10791764869458378, -0.00532655346736977, 0.16830154166968184]"
70,2,4,2,2,0.4,0.236837078,true,1.5165235087942213e-12,0.03999999951925533,0.040000000009051295,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.02760932097064006, 0.09432547428267636, 0.17418504613453]"
71,2,4,2,2,0.4,0.239446444,true,2.2652774749651936e-14,0.0399999999912095,0.039999999999646846,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.13341036571842177, -0.05423478351771415, -0.13878134808274362]"
72,2,4,2,2,0.4,0.209376723,true,3.0975851621585825e-17,0.03999999055677705,0.03999999925525682,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.019457835004385124, 0.1621103747482986, -0.1155059264969046]"
73,2,4,2,2,0.4,0.262170903,true,3.7143161374742206e-14,0.0399999999873114,0.04000000000009604,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003962531019588075, 0.14751963662722686, 0.1349898335330841]"
74,2,4,2,2,0.4,0.212117236,true,3.863242319220056e-17,0.03999999201162608,0.039999997848020406,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14151249952019543, -0.1285359121117242, 0.05875995045227494]"
75,2,4,2,2,0.4,0.202302742,true,1.136717281298047e-11,0.03999996718364906,0.03999999615000848,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07170749006473737, -0.153158393500301, -0.10677332236576026]"
76,2,4,2,2,0.4,0.215735785,true,5.228418321695295e-13,0.03999999999908321,0.04000000000050814,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.13539161999656138, -0.13176117182949268, -0.06563613968558504]"
77,2,4,2,2,0.4,0.223446861,true,1.995729342276851e-17,0.03999999532498591,0.03999999977945388,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.02130166761319946, -0.11425538709553436, -0.16276346480874132]"
78,2,4,2,2,0.4,0.259849083,true,1.0108701732788533e-14,0.03999999991625247,0.039999999991779306,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1251714403742402, 0.027668626376997157, 0.15351403072373604]"
79,2,4,2,2,0.4,0.215989299,true,5.252225363342783e-16,0.03999999300114412,0.03999999871146437,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0009277399409117036, 0.07041221263119975, 0.18719310780843604]"
80,2,4,2,2,0.4,0.19748019,true,8.851664776342893e-15,0.039999977185181015,0.03999999657354359,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06208588523608469, 0.05264189013862469, 0.18268599907241034]"
81,2,4,2,2,0.4,0.257931233,true,2.3357723386089893e-14,0.03999999999544957,0.03999999999857326,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.033891602093856325, -0.13407112540690239, 0.1444863060626798]"
82,2,4,2,2,0.4,0.201685442,true,9.083195338711157e-17,0.039999993097071807,0.039999999648494024,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0027927869586483766, -0.17142278127311972, -0.10298752546591149]"
83,2,4,2,2,0.4,0.199554731,true,8.663960608524003e-15,0.03999997581347446,0.039999997472855826,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.021978954840483254, 0.17708864013331888, 0.0903135597784291]"
84,2,4,2,2,0.4,0.238390985,true,1.0988157216176706e-11,0.03999997363676744,0.03999999452931426,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1300257912126672, -0.12904390330670162, -0.08025562060622628]"
85,2,4,2,2,0.4,0.266270542,true,5.861622932946246e-12,0.039999999986704816,0.04000000000506063,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.15696562942433687, 0.00044940653686849493, 0.12394187836718618]"
86,2,4,2,2,0.4,0.206513876,true,1.857498208085714e-14,0.039999982556120764,0.03999999754894636,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17013312242618286, -0.10432794592236612, -0.013053748623952137]"
87,2,4,2,2,0.4,0.199574766,true,2.0647333216871623e-14,0.03999999997567369,0.039999999998606595,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.14869413600774625, -0.0961251149996525, -0.09300546319014516]"
88,2,4,2,2,0.4,0.192321946,true,2.4913121253823122e-14,0.03999998496462659,0.03999999917486232,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.15339009788650027, -0.12811013528077045, 0.007698773195293257]"
89,2,4,2,2,0.4,0.281125057,true,1.2123057416435194e-19,0.03999999999872747,0.04000000000011811,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0009545809439995095, 0.19889673232597632, 0.020956589542916598]"
90,2,4,2,2,0.4,0.203929804,true,2.911518977214594e-16,0.03999999842782764,0.03999999980774737,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1913304241105174, 0.0070262785926463915, -0.057821278253148915]"
91,2,4,2,2,0.4,0.225166412,true,5.08035658636135e-17,0.03999999996400472,0.03999999999391188,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18486652981977628, 0.02901705829728778, 0.07058595101127121]"
92,2,4,2,2,0.4,0.218127623,true,1.755381023778655e-13,0.03999999884655092,0.03999999988376586,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1228458989587634, -0.11870083045820123, 0.10401441225881464]"
93,2,4,2,2,0.4,0.229808399,true,1.0570274468789737e-13,0.03999999999761372,0.040000000002644115,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.11091262522861163, -0.061678403896627404, -0.1545773723986213]"
94,2,4,2,2,0.4,0.21101854,true,9.516128929003515e-14,0.039999866500197205,0.039999996128022734,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01473096833361008, -0.16673398613428703, -0.10946586883465348]"
95,2,4,2,2,0.4,0.260161204,true,1.6095203964796805e-13,0.039999999701079814,0.03999999998815357,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04580051409143792, 0.15617853090673642, -0.1162350179282198]"
96,2,4,2,2,0.4,0.219672364,true,1.9655328654390685e-17,0.03999999998792494,0.039999999980998506,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023580240935440255, -0.04363542946447765, 0.19375221684635557]"
97,2,4,2,2,0.4,0.211639775,true,3.271196727933736e-12,0.039999999984244174,0.04000000000250645,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1796411820264302, 0.07535610270197775, -0.04528248563976972]"
98,2,4,2,2,0.4,0.212289895,true,5.574461573716678e-12,0.03999999999179263,0.040000000005840225,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03087918858259758, -0.029993847780896712, -0.19531217270763435]"
99,2,4,2,2,0.4,0.202597824,true,3.1025785018592567e-16,0.03999999997059678,0.039999999999456415,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10298683172415479, 0.07157436522426798, 0.1557909584480554]"
100,2,4,2,2,0.4,0.193140395,true,1.1279314991706125e-17,0.03999999998338686,0.039999999995945085,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1961403073060105, -0.021619196843663042, 0.03258205300067364]"
101,2,4,2,2,0.4,0.225400221,true,2.671213795914796e-13,0.03999999998801396,0.040000000000283614,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1476107898430299, -0.057232310236448994, -0.12221095444728235]"
102,2,4,2,2,0.4,0.208933981,true,2.180079143460577e-12,0.03999997010759071,0.03999999736862408,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.12880925297762044, -0.1295358295957909, 0.08141649217620223]"
103,2,4,2,2,0.4,0.23499827,true,1.2711680574428011e-12,0.03999999987265738,0.04000000000135809,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12226860623028235, -0.07085695789856176, -0.14152625003110061]"
104,2,4,2,2,0.4,0.23759038,true,1.5786245951967598e-15,0.03999999114832347,0.03999999925657082,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0768841704580667, -0.18145572170575439, -0.03409758632540965]"
