n,m,K,ε,avgtime,avgexact,avgsqerror,nsamples
2,1,4,0.02,0.01275613105,1.0,2.2351511702148498e-11,20
3,1,4,0.02,0.1255193194,1.0,1.5894781527803102e-9,20
