id,d,n,m,K,ε,time,exact,sqerror,optval,dist_after_rounding,ν
1,3,3,2,3,0.04,0.162875728,false,1.9919422913844662,-0.008095432037182536,2.0069493174105792,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007317703505835604, -0.01493274982409525, -0.007761352852255459, 0.007951452697114544]"
2,3,3,2,3,0.04,0.163607927,false,1.9926952114042635,-0.007345513420863755,2.0040996322289693,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005518654057692585, 0.014730646775498098, 0.01091024800412755, -0.00578955883081358]"
3,3,3,2,3,0.04,0.174139862,false,1.9916812460904354,-0.008336772334376302,1.9878783385183258,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0020975907540828898, -0.011474295460299834, 0.013479813081311881, 0.009068367880220867]"
4,3,3,2,3,0.04,0.170121376,false,1.9927368938098577,-0.007235899848033374,1.970790574724001,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.011190625517171204, 0.012973395020391392, 0.0031383304524900935, -0.009829130386269822]"
5,3,3,2,3,0.04,0.171549237,false,1.9927546142052428,-0.007229200624261495,1.974670999444781,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.009253732449633678, -0.013962320696859813, 0.007509222067980245, 0.007939371539510924]"
6,3,3,2,3,0.04,0.190469525,false,1.993138306944733,-0.006835435046147575,1.9779036904171194,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.00783380631460806, 0.005433712636097852, -0.011865838072573482, -0.012973362418778838]"
7,3,3,2,3,0.04,0.176282246,false,1.992975958170879,-0.0070591371691393805,2.010532052979226,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008592025095981892, -0.009670097526509288, -0.0072592169286351685, -0.013415293070254993]"
8,3,3,2,3,0.04,0.175141388,false,1.9927722884741526,-0.007185696000390072,1.9642673604502463,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.014477288066315985, -0.004762419751659413, 0.0024170716987462633, 0.012723413565432424]"
9,3,3,2,3,0.04,0.20036675,false,1.9940424857761454,-0.005972332133966235,2.004514657388773,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0050410402770388885, -0.002407039273103764, -0.01310586588939654, 0.01403675012786652]"
10,3,3,2,3,0.04,0.242754796,false,1.9928630366330538,-0.007158181460939862,2.001844806078161,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0042978603344066, -0.0023867056299164665, -0.003976045807556935, -0.01897427449254039]"
11,3,3,2,3,0.04,0.299911833,false,1.9939946335289351,-0.006002965630154606,1.9927196570761396,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0008411899353512053, 0.01015474900165202, -0.01617443551868975, 0.005878869607148863]"
12,3,3,2,3,0.04,0.293694698,false,1.9927953050646212,-0.00720334156001543,1.9828169444781238,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0051936573441502265, 0.017592739799390047, 0.005145252944932098, -0.0060866905519485325]"
13,3,3,2,3,0.04,0.199165446,false,1.9941721266713421,-0.0058000526134468185,1.9727422609090404,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010931249281714406, -0.006069718977831233, -0.0036465528985564926, -0.015177910021778446]"
14,3,3,2,3,0.04,0.197282381,false,1.9949217607243568,-0.00512878114507963,2.0294310174579935,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01707806939479828, -0.008607992847516201, 0.004792698790723854, -0.0033573863621804913]"
15,3,3,2,3,0.04,0.198231925,false,1.9948191346559827,-0.005198528843104429,1.997112250295536,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0009534290369328513, -0.013351654185893153, 0.013754533552481844, -0.0056246875758131035]"
16,3,3,2,3,0.04,0.190032313,false,1.9942109454421704,-0.005816440970559636,2.0068732995823066,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006142522842304654, -0.010199286718537353, 0.0060661150255397955, 0.01488106891529478]"
17,3,3,2,3,0.04,0.19693301,false,1.9938025010733431,-0.006209635296120129,1.988876142897732,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.002659928218357699, -0.0010950462533806452, 0.0192334308739721, 0.004669131867090315]"
18,3,3,2,3,0.04,0.223447859,false,1.9920640806537044,-0.00798655062345107,2.0121160097814235,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009846711829206933, -0.016169569583179152, -0.0036409662780531667, 0.005322654432645667]"
19,3,3,2,3,0.04,0.181526215,false,1.9927837225228529,-0.007273725112398561,2.0200397824716254,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01345306458562101, 0.005872304846844284, -0.00021787325938277404, 0.013582474748133427]"
20,3,3,2,3,0.04,0.199218108,false,1.9944326065883564,-0.005627292484065232,2.030649415773291,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01793614096348284, 0.003173668388435526, 0.008196302717919785, -0.0010214196270573017]"
