id,d,n,m,K,ε,time,exact,sqerror,optval,dist_after_rounding,ν
1,2,4,2,2,0.4,0.210425862,true,4.204354654086658e-14,0.03999998746108133,0.03999999927508714,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.17948312990909485, -0.03642204445940577, 0.08036940186060901]"
2,2,4,2,2,0.4,0.254205471,true,2.0659786693197433e-14,0.039999988803569086,0.039999997675450816,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17093341864140205, -0.06012993873131159, -0.08465315623018377]"
3,2,4,2,2,0.4,0.262475073,true,1.2929734788763494e-16,0.03999999738403459,0.03999999985515597,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014635892704005747, -0.16655059586424958, 0.10975741278847746]"
4,2,4,2,2,0.4,0.230609778,true,1.5518011956319097e-14,0.03999998548652117,0.03999999902608163,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04109020217780274, -0.10195459616100344, -0.167083379205216]"
5,2,4,2,2,0.4,0.264034552,true,5.113260247463556e-17,0.03999999993258998,0.03999999999738765,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06098254175512208, 0.04489636574992725, -0.18510928108426533]"
6,2,4,2,2,0.4,0.215208403,true,2.785657747547041e-17,0.03999999998442827,0.03999999999771619,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.026030297036575292, -0.024688247456691407, 0.19675597595423838]"
7,2,4,2,2,0.4,0.253807011,true,9.283989247078597e-14,0.03999999995447112,0.03999999999820336,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03984146888159386, -0.0017673171905395531, -0.19598350427345923]"
8,2,4,2,2,0.4,0.22678175,true,1.1790358568628512e-16,0.04000000001621801,0.039999999442582986,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1818977705877979, -0.07311668586634841, 0.039587261879430034]"
9,2,4,2,2,0.4,0.278558743,true,9.511962248862446e-13,0.03999999999084471,0.04000000000102982,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14949832945435246, -0.030071217593207272, 0.12940622613622527]"
10,2,4,2,2,0.4,0.215304786,true,1.4359392701361618e-14,0.039999984960041646,0.039999996683010325,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15735445732026335, -0.10841857581183129, -0.05903377999399676]"
11,2,4,2,2,0.4,0.276750174,true,3.7664590580423803e-13,0.039999999964040356,0.03999999999844317,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.07177232639328612, 0.12466878767013921, -0.13894756761078383]"
12,2,4,2,2,0.4,0.250229455,true,5.351050619602986e-18,0.03999999994762802,0.03999999999209783,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05372087899394076, -0.19262500441642783, -0.0031104394688759953]"
13,2,4,2,2,0.4,0.222481902,true,7.712142905776988e-17,0.03999999173572197,0.03999999829213763,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01141435544061917, -0.10279576357872056, 0.1711804412897192]"
14,2,4,2,2,0.4,0.227938825,true,3.755820101984637e-12,0.039999999972054216,0.04000000000251278,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.19403509337178715, 0.011495751524267853, -0.047098091650237234]"
15,2,4,2,2,0.4,0.224160946,true,2.061746123771818e-14,0.039999987701494884,0.03999999740619381,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15736236576050924, -0.09356588949181954, -0.0805140370734217]"
16,2,4,2,2,0.4,0.278722435,true,2.7513905919939374e-16,0.03999999997900397,0.03999999999986986,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017859450395489206, -0.1969690117702244, -0.029736315068149728]"
17,2,4,2,2,0.4,0.251318731,true,1.5988220625632917e-15,0.03999999552972078,0.04000000008897728,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11731984793730243, -0.0199575513706513, 0.16074124991195027]"
18,2,4,2,2,0.4,0.259408492,true,1.1653555165944694e-15,0.03999999061173806,0.03999999940924562,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.07714559413157457, 0.1704044788452257, -0.07078750522213231]"
19,2,4,2,2,0.4,0.253598289,true,2.0785921200953254e-16,0.0400000000132864,0.03999999995966849,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06414663991524697, 0.03045745054619181, 0.18696938865442633]"
20,2,4,2,2,0.4,0.240054402,true,1.9765150536037592e-11,0.039999999986394454,0.04000000001441983,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.018592479121321347, 0.15173155488409784, 0.12896454928613998]"
21,2,4,2,2,0.4,0.230011861,true,2.103390110688102e-16,0.03999999996389941,0.03999999997871806,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.026392987519843692, 0.028920656002953522, 0.19613007384421238]"
22,2,4,2,2,0.4,0.238950576,true,1.5110292102479044e-15,0.03999999079623993,0.03999999829533372,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03522035307463389, -0.1249878868502188, 0.15211033781441363]"
23,2,4,2,2,0.4,0.216386492,true,2.5826131851104708e-14,0.03999998705769378,0.039999997383467045,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16568219344393142, -0.06644038284039763, -0.09019471327982077]"
24,2,4,2,2,0.4,0.247766833,true,6.086623047619112e-14,0.0399999999696944,0.03999999999893725,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.039243951857109285, 0.19554743545669576, -0.014869859748710102]"
25,2,4,2,2,0.4,0.226977421,true,2.1558711062354965e-15,0.039999987534902054,0.0399999991830557,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.030604837453632863, 0.16255828165058794, -0.11241952228703352]"
26,2,4,2,2,0.4,0.236629763,true,8.53155086844287e-13,0.039999999639070354,0.03999999998676373,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.08886459566709787, -0.1629840672779618, -0.07442632229565044]"
27,2,4,2,2,0.4,0.221776858,true,1.0523083898545362e-15,0.0399999910121453,0.039999999328390094,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.18131428207729158, 0.0722299769070557, 0.043680219216512]"
28,2,4,2,2,0.4,0.217532036,true,1.8866969258514253e-17,0.03999999998726615,0.03999999999835796,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02741101017619553, -0.024378512115281296, 0.19660703107510066]"
29,2,4,2,2,0.4,0.214900347,true,1.198128297664066e-16,0.039999993251544345,0.03999999946168588,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.19167431753873798, -0.0013368059327221445, 0.05708913159225041]"
30,2,4,2,2,0.4,0.219514174,true,3.6971100566645663e-16,0.039999991078586095,0.03999999806829011,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.055811745706790386, -0.13228478974690774, 0.139232838952515]"
31,2,4,2,2,0.4,0.26299584,true,6.636427238507731e-16,0.039999999824913646,0.0399999999573572,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11692289548013493, -0.15641599362440506, 0.04316333456802811]"
32,2,4,2,2,0.4,0.251884,true,2.279327810244472e-16,0.03999999996425919,0.03999999999828274,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08909873814256741, 0.07293628430453196, 0.16352893717397754]"
33,2,4,2,2,0.4,0.243621292,true,1.4319912967476972e-13,0.039999999996700175,0.04000000000009251,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1643986625754133, -0.08217103111518881, 0.0788733249513553]"
34,2,4,2,2,0.4,0.237561117,true,6.795769148704354e-12,0.039999999992109216,0.040000000007022835,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.18222557102991194, 0.031232974376541985, -0.07627806089837885]"
35,2,4,2,2,0.4,0.226379145,true,4.3512583935585434e-16,0.03999999063166723,0.039999998131256785,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024500736511103682, -0.12024543595926057, 0.15792640387655527]"
36,2,4,2,2,0.4,0.219683754,true,4.5651267123734573e-17,0.039999992702753895,0.039999999356822837,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01719933828837451, -0.13105554345420875, -0.15009539397451227]"
37,2,4,2,2,0.4,0.246835416,true,1.0490007233894461e-15,0.039999999994281166,0.039999999996812585,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02778529588354388, 0.18977117853753533, 0.056699886500228704]"
38,2,4,2,2,0.4,0.21484661,true,4.1818087929564346e-16,0.03999999477464877,0.03999999959751696,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0028709074715150924, -0.19725413160015326, 0.032902362482950004]"
39,2,4,2,2,0.4,0.263565426,true,1.7781966459689533e-14,0.03999999999367719,0.039999999999964835,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.15939323018544813, -0.06972511105467948, 0.09865194909104112]"
40,2,4,2,2,0.4,0.242573726,true,3.9852069445315826e-14,0.039999999987740426,0.039999999998673,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.16233384443966348, -0.05408858363587277, -0.10354780572133981]"
41,2,4,2,2,0.4,0.217029916,true,2.3423166049616326e-14,0.03999998897584364,0.03999999775576002,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.07271792632206883, 0.05540865038017572, 0.1778819402144738]"
42,2,4,2,2,0.4,0.213860858,true,7.701645498616966e-16,0.03999999548968527,0.03999999941965269,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.11467657787453443, -0.028939483882674373, 0.16128170621490298]"
43,2,4,2,2,0.4,0.247911421,true,1.722452618970376e-17,0.0399999999687638,0.03999999999834443,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16880550145823814, -0.08546831258448337, 0.06480640571265933]"
44,2,4,2,2,0.4,0.23693212,true,3.920703405828404e-15,0.03999998467586156,0.03999999928171112,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12115492460197141, -0.09042825647018302, 0.13093591820601955]"
45,2,4,2,2,0.4,0.201529653,true,7.248158252333983e-15,0.03999998573759056,0.03999999721291566,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16111306291031416, -0.10565304321686673, -0.05366577511479779]"
46,2,4,2,2,0.4,0.247985628,true,9.813547013224145e-19,0.039999999996489295,0.03999999999777448,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.007053744524014279, 0.1690921840527641, 0.10657428386086432]"
47,2,4,2,2,0.4,0.241380919,true,6.985076631558682e-14,0.039999999916195676,0.039999999996428684,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1441764838856295, 0.09450798637440017, -0.10139714989008819]"
