n,m,space_dim,codim,relative_codim,max_nontrunc_eig,max_trunc_eig,solver_status
7,7,28,28,21,0,1.3481091684508406e-15,SLOW_PROGRESS
7,7,28,28,21,0,1.8908323299178145e-11,SLOW_PROGRESS
7,7,28,28,21,0,3.146959194541327e-11,SLOW_PROGRESS
7,7,28,28,21,0,1.133539316263076e-9,SLOW_PROGRESS
7,7,28,28,21,0,2.8922234639535262e-11,SLOW_PROGRESS
7,7,28,28,21,0,6.224324450861442e-15,SLOW_PROGRESS
7,7,28,28,21,0,1.4091266566335482e-11,SLOW_PROGRESS
7,7,28,28,21,0,4.4952545802578653e-10,SLOW_PROGRESS
7,7,28,28,21,0,3.5879034192257105e-10,SLOW_PROGRESS
7,7,28,28,21,0,5.133105639006552e-11,SLOW_PROGRESS
7,7,28,28,21,0,2.023226609008741e-11,SLOW_PROGRESS
7,7,28,28,21,0,3.840797562344298e-11,SLOW_PROGRESS
7,7,28,28,21,0,3.921203352350825e-12,SLOW_PROGRESS
7,7,28,28,21,0,2.915619112926875e-12,SLOW_PROGRESS
7,7,28,28,21,0,1.2332575356145923e-11,SLOW_PROGRESS
7,7,28,28,21,0,3.2719586504303106e-12,SLOW_PROGRESS
7,7,28,28,21,0,2.167238782663413e-11,SLOW_PROGRESS
7,7,28,28,21,0,5.65116296416383e-13,SLOW_PROGRESS
7,7,28,28,21,0,3.4966918143458897e-9,SLOW_PROGRESS
7,7,28,28,21,0,6.061987360519623e-11,SLOW_PROGRESS
7,7,28,28,21,0,9.801100233964231e-16,SLOW_PROGRESS
7,7,28,28,21,0,2.150102984302803e-11,SLOW_PROGRESS
7,7,28,28,21,0,2.430527953156573e-10,SLOW_PROGRESS
7,7,28,28,21,0,1.0549512995010855e-11,SLOW_PROGRESS
7,7,28,28,21,0,1.0349185193179603e-10,SLOW_PROGRESS
7,7,28,28,21,0,6.731456169476431e-11,SLOW_PROGRESS
7,7,28,28,21,0,9.446872847252178e-12,SLOW_PROGRESS
7,7,28,28,21,0,6.46587821864214e-10,SLOW_PROGRESS
7,7,28,28,21,0,7.645061305403635e-12,SLOW_PROGRESS
7,7,28,28,21,0,9.037786546504515e-16,SLOW_PROGRESS
7,7,28,28,21,0,2.3076038003368404e-12,SLOW_PROGRESS
7,7,28,28,21,0,6.762162162662473e-13,SLOW_PROGRESS
7,7,28,28,21,0,2.0588043660336e-11,SLOW_PROGRESS
7,7,28,28,21,0,1.229605750609077e-9,SLOW_PROGRESS
7,7,28,28,21,0,1.3425757021752515e-9,SLOW_PROGRESS
7,7,28,28,21,0,3.229620628761273e-8,SLOW_PROGRESS
7,7,28,28,21,0,6.950151949087322e-12,SLOW_PROGRESS
7,7,28,28,21,0,3.313236218466917e-11,SLOW_PROGRESS
7,7,28,28,21,0,2.045387973579214e-11,SLOW_PROGRESS
7,7,28,28,21,0,1.587016179273399e-11,SLOW_PROGRESS
7,7,28,28,21,0,1.0581036872340644e-11,SLOW_PROGRESS
7,7,28,28,21,0,2.0447229217940227e-12,SLOW_PROGRESS
7,7,28,28,21,0,5.7678790846826016e-12,SLOW_PROGRESS
7,7,28,28,21,0,4.9344543935720247e-14,SLOW_PROGRESS
7,7,28,28,21,0,1.3627279343484494e-11,SLOW_PROGRESS
7,7,28,28,21,0,1.5234040167876882e-13,SLOW_PROGRESS
7,7,28,28,21,0,3.3623463080171383e-12,SLOW_PROGRESS
