n,m,space_dim,codim,relative_codim,max_nontrunc_eig,max_trunc_eig,solver_status
7,8,28,28,20,0,1.2481354627648008e-10,SLOW_PROGRESS
7,8,28,28,20,0,7.418532819296131e-13,SLOW_PROGRESS
7,8,28,28,20,0,4.183467112316322e-11,SLOW_PROGRESS
7,8,28,28,20,0,1.660430820682349e-12,INFEASIBLE
7,8,28,28,20,0,2.8506098770616752e-11,SLOW_PROGRESS
7,8,28,28,20,0,6.611530819435199e-10,SLOW_PROGRESS
7,8,28,28,20,0,3.8234853426768e-12,INFEASIBLE
7,8,28,28,20,0,1.2904858245777735e-12,SLOW_PROGRESS
7,8,28,28,20,0,1.459759532213286e-11,INFEASIBLE
7,8,28,28,20,0,1.8493841872228684e-13,SLOW_PROGRESS
7,8,28,28,20,0,2.6936317433782875e-10,SLOW_PROGRESS
7,8,28,28,20,0,2.422695063636331e-9,INFEASIBLE
7,8,28,28,20,0,1.2775263414736216e-12,SLOW_PROGRESS
7,8,28,28,20,0,2.388589014898023e-13,INFEASIBLE
7,8,28,28,20,0,1.4266747932156342e-10,SLOW_PROGRESS
7,8,28,28,20,0,1.2842344444457986e-11,SLOW_PROGRESS
7,8,28,28,20,0,7.59208082934625e-14,SLOW_PROGRESS
7,8,28,28,20,0,2.6371147182050865e-9,INFEASIBLE
7,8,28,28,20,0,1.3002634147650309e-13,SLOW_PROGRESS
7,8,28,28,20,0,7.722174323611702e-9,INFEASIBLE
7,8,28,28,20,0,3.8397706635172226e-13,INFEASIBLE
7,8,28,28,20,0,1.8873717250015635e-12,SLOW_PROGRESS
7,8,28,28,20,0,4.1004296873605293e-8,SLOW_PROGRESS
7,8,28,28,20,0,1.1424715394726169e-9,INFEASIBLE
7,8,28,28,20,0,2.448982892483035e-11,SLOW_PROGRESS
7,8,28,28,20,0,1.6546144220461645e-10,SLOW_PROGRESS
7,8,28,28,20,0,1.074453290258188e-12,INFEASIBLE
7,8,28,28,20,0,4.258573761185784e-16,SLOW_PROGRESS
7,8,28,28,20,0,7.98076843134662e-11,SLOW_PROGRESS
7,8,28,28,20,0,7.072718458171761e-10,SLOW_PROGRESS
7,8,28,28,20,0,1.579797341127453e-8,INFEASIBLE
7,8,28,28,20,0,5.717395908837442e-10,INFEASIBLE
7,8,28,28,20,0,1.4079390838686048e-10,INFEASIBLE
7,8,28,28,20,0,3.863275939198706e-9,INFEASIBLE
7,8,28,28,20,0,3.0329939145570134e-10,SLOW_PROGRESS
7,8,28,28,20,0,3.3082194528726515e-13,INFEASIBLE
7,8,28,28,20,0,2.956387193489692e-13,INFEASIBLE
7,8,28,28,20,0,5.3629927621576066e-11,INFEASIBLE
7,8,28,28,20,0,6.910958466713546e-9,INFEASIBLE
7,8,28,28,20,0,5.051157164005921e-10,SLOW_PROGRESS
7,8,28,28,20,0,4.969088515075586e-10,INFEASIBLE
7,8,28,28,20,0,2.5206139065994046e-11,INFEASIBLE
7,8,28,28,20,0,2.6687642840070164e-11,SLOW_PROGRESS
7,8,28,28,20,0,4.7725372571743585e-14,SLOW_PROGRESS
7,8,28,28,20,0,1.548116575986793e-11,SLOW_PROGRESS
7,8,28,28,20,0,1.2379757996648766e-11,INFEASIBLE
7,8,28,28,20,0,6.343536750113694e-13,SLOW_PROGRESS
7,8,28,28,20,0,1.911470374549165e-11,INFEASIBLE
7,8,28,28,20,0,1.4852325262225426e-12,INFEASIBLE
7,8,28,28,20,0,2.6609583312015906e-12,INFEASIBLE
7,8,28,28,20,0,3.592131362203789e-9,INFEASIBLE
7,8,28,28,20,0,2.9364166408562783e-10,SLOW_PROGRESS
7,8,28,28,20,0,6.729464962308014e-13,INFEASIBLE
7,8,28,28,20,0,4.7966989407180575e-12,INFEASIBLE
7,8,28,28,20,0,2.7500459247766587e-9,INFEASIBLE
7,8,28,28,20,0,9.319368239674809e-12,INFEASIBLE
7,8,28,28,20,0,1.056491746976839e-10,SLOW_PROGRESS
